Entry_ID  Pocket_Score drug_score volume nb_asph inter_chain apol_asph_proportion mean_asph_radius as_density mean_asph_solv_acc mean_loc_hyd_dens flex hydrophobicity_score volume_score charge_score polarity_score a0_apol a0_pol af_apol af_pol n_abpa ala cys asp glu phe gly his ile lys leu met asn pro gln arg ser thr val trp tyr
85  0.1291 0.8245 596.5630 92 1 0.6739 3.9216 4.7681 0.4901 47.9032 0.3457 46.0667 5.0000 -1 9 131.6315 62.5430 47.7836 40.1093 7 1 0 1 1 0 0 1 1 1 0 1 0 0 2 0 0 0 2 3 1 0
86  0.2555 0.8080 979.3098 127 1 0.4803 4.1877 6.9629 0.5015 43.0820 0.3948 25.8400 4.0400 5 12 127.0385 104.5954 107.0353 40.1938 22 2 1 0 1 2 0 1 4 3 1 1 3 0 2 0 0 1 0 2 1 0
87  0.2047 0.9632 1328.6469 160 0 0.3938 4.0080 9.2497 0.4614 33.3968 0.2541 21.3235 4.1471 1 23 205.2968 150.5703 120.4148 86.0551 25 2 1 2 2 0 1 1 1 1 1 2 2 0 1 2 4 4 3 2 2 0
88  0.2966 0.0321 346.8954 52 0 0.2692 3.9536 2.6530 0.5254 13.0000 0.2566 17.3636 3.0000 -1 6 53.6898 46.2719 40.2375 26.1693 9 0 0 0 1 2 1 0 2 0 0 0 0 0 0 0 3 0 1 0 1 0
89  0.1998 0.6307 345.9604 36 0 0.5833 3.9545 3.0523 0.4857 19.8095 0.0000 35.1333 4.2000 4 7 88.1569 25.8699 51.6063 3.5061 7 1 0 0 0 0 1 0 0 4 0 2 0 0 1 2 0 1 1 0 2 0
90  0.0070 0.5089 628.0206 67 1 0.6716 4.0615 4.7543 0.6457 35.6444 0.2968 51.0000 4.5294 1 8 99.2630 74.3511 53.6169 47.1216 11 0 0 1 0 1 0 0 1 0 0 3 1 0 2 0 2 1 1 2 2 0
91  -0.0181 0.0011 204.2943 16 0 0.5625 4.0047 2.3001 0.6339 8.0000 0.5039 16.3750 3.6250 -1 6 39.8517 47.7417 22.9361 41.9609 2 0 0 1 0 0 1 1 0 0 0 1 0 0 1 0 2 1 0 0 0 0
92  0.2513 0.0050 416.4353 29 0 0.2069 4.0192 4.2424 0.5997 5.0000 0.1181 7.8333 3.5000 2 9 50.7204 73.1912 28.6702 55.8728 7 0 0 0 0 0 1 1 2 2 0 0 1 0 0 0 2 1 0 1 1 0
93  0.3999 0.9115 849.1566 113 0 0.3982 4.0033 7.9719 0.4599 20.8889 0.4167 39.6364 3.6970 0 10 153.3688 72.0754 49.6950 54.1338 17 2 1 0 2 1 0 0 6 0 6 4 1 0 0 1 1 3 0 2 3 0
94  0.3587 0.2152 1013.9412 121 0 0.3554 3.9964 8.1723 0.4863 17.1163 0.3458 35.0571 3.7429 1 11 185.9747 72.0533 76.4538 73.4316 12 2 2 0 2 1 0 0 6 0 6 3 1 0 0 2 1 3 0 2 4 0
